34.33	1.23	24.1	0.65	8.936
34.85	1.02	23.69	0.29	8.894
36.09	1.08	23.47	0.22	8.755
37.1	1.25	23.69	0.32	8.906
38.71	1.06	24.31	0.19	8.88
39.17	0.82	23.66	0.16	8.69
39.42	0.72	23.98	0.31	8.875
43.93	1.44	23.66	0.32	8.878
44.12	0.88	23.37	0.19	8.726
45.53	1.7	23.26	0.51	9.017
49.07	1.14	23.58	0.13	8.66
49.07	1.41	23.7	0.16	8.696
49.64	1	23.87	0.14	8.685
50.62	0.75	23.26	0.14	8.862
52.12	1.27	23.52	0.15	8.902
54.93	0.73	23.4	0.15	8.689
56.54	1.03	23.01	0.18	8.859
59.99	1.06	23.27	0.17	8.725
93.35	1.24	22.9	0.12	8.852
15.01	1.78	25.17	0.55	8.884
15.33	1.55	25.33	0.5	9.12
15.69	1.16	25.7	0.52	8.628
15.76	0.87	25.04	0.6	8.563
15.76	1.86	25.24	0.63	8.689
15.88	1.43	25.64	0.67	9.05
15.93	1.68	25.51	0.69	9.018
16.09	1.93	26.21	0.7	8.631
16.27	1.49	24.92	0.51	8.951
16.89	1.41	24.73	0.61	9.104
17.09	1.77	25.55	0.44	9.177
17.11	1.48	25.94	0.66	8.595
17.72	1.72	24.8	0.59	8.968
18.74	1.45	25.39	0.67	8.801
18.8	1.78	25.42	0.59	8.852
19.63	1.79	25.64	0.54	8.775
19.72	1.44	24.77	0.62	9.22
19.85	1.78	24.72	0.66	8.71
20.02	0.96	25.67	0.55	8.999
20.08	1.35	24.68	0.52	9.056
20.1	1.35	24.86	0.61	8.886
20.3	1.4	24.32	0.53	9.224
20.33	1.27	25.44	0.48	8.848
20.42	1.54	24.92	0.55	8.899
20.43	1.8	25.16	0.65	9.025
20.93	2.09	24.63	0.66	8.697
21	1.56	25.18	0.54	8.946
21.07	1.66	24.8	0.64	8.81
21.31	1.56	24.72	0.64	9.087
21.49	1.38	24.34	0.55	8.814
21.97	0.8	25.06	0.66	9.26
22.04	1.07	25.36	0.69	9.1
22.11	1.67	24.54	0.51	8.692
22.26	0.8	24.88	0.57	9.053
22.7	1.5	25.66	0.51	8.849
22.85	1.7	24.75	0.65	9.067
23.08	1.18	24.22	0.59	9.08
23.1	1.69	24.62	0.47	9.274
23.13	1.64	25.13	0.55	9.098
23.35	1.68	25.33	0.43	9.037
23.58	0.98	24.73	0.54	9.19
24.36	1.87	24.87	0.66	9.096
24.42	1.29	24.78	0.67	9.227
24.45	2.02	24.77	0.56	9.065
24.65	1.91	25.38	0.44	8.903
25.01	1.84	24.85	0.61	8.773
25.11	1.48	25.37	0.5	8.838
25.18	1.41	24.67	0.59	8.851
25.45	1.79	24.37	0.43	8.995
25.53	1.6	25.35	0.54	9.015
25.57	1.69	24.7	0.54	9.206
25.62	1.95	25.11	0.49	8.986
25.72	0.98	24.45	0.36	9.121
25.73	1.15	25	0.59	8.888
25.91	1.1	25.02	0.52	8.887
26.25	1.23	25.25	0.54	8.944
26.36	1.44	24.43	0.43	8.897
26.42	1.11	24.74	0.53	8.752
26.43	1.42	24.77	0.45	8.737
26.67	1.87	24.42	0.48	8.676
27.06	1.56	25.41	0.51	8.873
27.13	1.84	24.63	0.47	8.82
27.28	1.38	24.49	0.6	9.105
27.51	1.25	24.5	0.56	9.065
27.64	1.62	24.51	0.5	9.243
27.67	1.2	24.6	0.43	9.17
27.78	0.97	24.89	0.66	9.045
28.64	1.05	25	0.56	8.888
28.64	1.47	24.26	0.69	9.104
29.17	1.63	24.33	0.44	8.64
29.45	1.44	24.05	0.42	8.669
29.47	1.06	24.37	0.47	8.976
29.75	1.69	24.32	0.6	9.144
29.81	2.09	24.3	0.57	9.083
29.83	1.84	24.67	0.59	9.215
29.85	1.72	24.69	0.43	8.851
29.95	1.74	24.4	0.6	9.194
29.99	1.65	24.82	0.55	8.755
30.34	1.51	24.6	0.45	9.185
30.59	0.88	24.56	0.65	9.092
30.83	1.68	24.83	0.62	8.951
30.97	1.5	24.03	0.47	8.88
33.16	2.04	24.93	0.4	9.106
33.42	1.89	24.48	0.38	8.701
33.67	1.42	23.87	0.64	9.08
34.06	1.83	23.51	0.52	8.777
34.2	1.89	24.94	0.68	8.779
34.38	1.44	24.63	0.56	8.826
34.39	1.62	24.35	0.38	9.079
34.44	1.29	25.04	0.49	9.101
34.56	1.55	24.47	0.51	8.721
35.19	1.88	24.54	0.61	9.181
35.34	1.7	24.08	0.53	8.717
35.56	1.8	23.95	0.5	8.728
35.98	1.74	24.77	0.43	8.575
36.18	1.62	23.8	0.58	9.059
36.53	1.34	24.75	0.61	8.761
36.66	1.43	24.11	0.41	9.198
36.74	1.85	24.45	0.39	8.799
36.76	1.39	24	0.59	9.043
37.13	1.75	24	0.52	9.247
37.33	1.56	24.54	0.46	8.762
37.37	1.55	24.1	0.59	9.046
38.02	1.72	24.29	0.44	9.024
38.03	1.54	24.15	0.51	9.043
38.03	1.55	24.35	0.59	8.877
38.31	1.65	24.66	0.54	9.119
38.33	1.65	23.81	0.44	8.755
39.79	1.54	24.27	0.56	9.086
40.49	1.66	24.41	0.55	8.898
40.71	1.54	23.93	0.6	9.042
40.74	1.29	24.72	0.37	9.115
40.97	2.15	24.51	0.45	8.637
41.66	2.02	23.98	0.44	9.089
41.72	1.98	24.05	0.56	8.813
42.11	1.26	24.41	0.53	9.058
43.29	1.96	24.49	0.42	9.261
44.06	1.74	24.91	0.32	8.856
44.95	2.05	24.11	0.56	8.711
45.54	1.91	23.6	0.49	8.884
